iter	RMSE
0	633.633888
1	616.3950679
2	600.6536814
3	585.0102509
4	570.860395
5	558.5783481
6	546.0892032
7	532.7940186
8	522.1528485
9	511.1653106
10	502.0590704
11	493.2542053
12	485.4248186
13	475.9242807
14	466.7397821
15	459.1971724
16	453.1217766
17	446.2348503
18	439.8470087
19	434.7546235
20	428.5380313
21	423.6705497
22	418.9682541
23	413.9010247
24	408.9366448
25	404.4484927
26	401.097171
27	396.7701606
28	393.1737014
29	390.057873
30	387.2033936
31	383.9474936
32	381.4163552
33	378.3393261
34	375.8612605
35	373.7491019
36	371.6659927
37	368.9258348
38	365.9706
39	363.730314
40	361.8927902
41	360.0356831
42	357.9949079
43	356.5181799
44	354.9015349
45	353.7089587
46	351.7026014
47	350.7575459
48	349.2939163
49	346.9693232
50	345.7986909
51	343.7928353
52	342.134659
53	340.6150274
54	338.8054395
55	337.3646136
56	336.3846512
57	335.4714611
58	334.3135547
59	333.256093
60	332.0474877
61	330.63457
62	329.7228089
63	328.7272102
64	327.4312493
65	326.8270665
66	326.3059482
67	325.0238847
68	324.3753448
69	323.3963207
70	321.9513125
71	321.3502001
72	320.2225586
73	319.1493608
74	318.0433142
75	317.0931926
76	316.515964
77	315.9426573
78	315.3272027
79	314.6857673
80	314.2722855
81	313.726119
82	312.9673938
83	312.2614249
84	311.3383158
85	310.87794
86	309.7894281
87	309.2159144
88	308.6982428
89	308.1199729
90	307.3642511
91	307.0588491
92	306.5180865
93	305.9198631
94	304.8673426
95	304.1785592
96	303.8800087
97	303.2641122
98	302.768395
99	302.1686654
100	301.7894125
101	300.9268181
102	300.2171711
103	299.3492844
104	298.6970957
105	298.2498133
106	297.7385819
107	297.0645682
108	296.4983215
109	295.802445
110	295.431073
111	295.1120419
112	294.7669122
113	294.1622756
114	293.3194423
115	292.4225621
116	292.0034558
117	291.4776722
118	291.0743017
119	290.5293422
120	290.0351939
121	289.4480844
122	288.7280976
123	288.3543581
124	287.8298407
125	287.161905
126	286.6224905
127	286.0867107
128	285.7757167
129	285.325456
130	284.6307445
131	284.1250963
132	283.5640828
133	283.149625
134	282.9132195
135	282.6245752
136	282.1979173
137	281.5826886
138	281.1789251
139	280.8802894
140	280.3128341
141	279.8954201
142	279.4719708
143	278.6816859
144	278.2031924
145	277.8233842
146	277.2900228
147	276.9288866
148	276.4665841
149	275.8744171
150	275.7155385
151	275.2056642
152	274.8773577
153	274.456007
154	274.1683184
155	273.5983712
156	273.4052238
157	273.0811743
158	272.4869725
159	271.7372896
160	271.4996842
161	271.1848774
162	270.7843569
163	270.4192044
164	270.1421113
165	269.792706
166	269.4611122
167	268.793766
168	268.3922579
169	268.0638533
170	267.855182
171	267.4765626
172	266.9221459
173	266.467538
174	266.0994912
175	265.5711978
176	265.2783365
177	264.8356172
178	264.4339906
179	263.7870369
180	263.5407016
181	263.2491064
182	262.8456436
183	262.4969475
184	262.08713
185	261.2571653
186	260.8028388
187	260.3668079
188	260.1170203
189	259.8023499
190	259.3377686
191	259.1350055
192	258.9464135
193	258.7329896
194	258.4464132
195	258.1616137
196	257.8260551
197	257.4787795
198	257.2243608
199	256.808008
200	256.4822418
201	256.1654501
202	255.799142
203	255.3650423
204	255.0566679
205	254.3400316
206	254.0480082
207	253.6853582
208	253.3248484
209	253.2053677
210	252.6972797
211	252.2650851
212	251.8876399
213	251.5606146
214	251.1849715
215	250.9876514
216	250.6664299
217	250.1792427
218	249.6252796
219	249.2854937
220	248.9837327
221	248.6750895
222	248.4700207
223	248.1569703
224	247.8611342
225	247.5772348
226	247.2224115
227	247.0603057
228	246.6914978
229	246.3255654
230	245.9634712
231	245.7685186
232	245.5398785
233	245.2654711
234	244.9848341
235	244.5989626
236	244.3182069
237	243.8139005
238	243.5111411
239	243.2363099
240	242.9708499
241	242.7450019
242	242.5186574
243	242.3377355
244	242.1514815
245	241.8873671
246	241.7381393
247	241.6146525
248	241.2683055
249	240.8155628
250	240.401231
251	240.15329
252	239.9011597
253	239.7454262
254	239.4472182
255	239.2163015
256	238.8771943
257	238.7239627
258	238.4871272
259	238.3361473
260	238.1307981
261	237.8842535
262	237.7316119
263	237.5480911
264	237.096485
265	236.8582179
266	236.6446316
267	236.3387638
268	236.0012323
269	235.812957
270	235.4835556
271	235.2853608
272	235.1700188
273	234.8519538
274	234.5232017
275	234.3708405
276	234.0789175
277	233.8585979
278	233.6954747
279	233.4055214
280	233.0911149
281	232.8774185
282	232.6273623
283	232.3809163
284	232.0001628
285	231.8169914
286	231.6442405
287	231.3093966
288	231.1838389
289	230.8513831
290	230.6073115
291	230.3904771
292	230.2380654
293	230.1356857
294	229.9106671
295	229.5873605
296	229.4661393
297	229.0379935
298	228.8055892
299	228.6321146
300	228.5152798
301	228.2541334
302	228.1230847
303	227.9971787
304	227.778248
305	227.474414
306	227.2197491
307	227.0723168
308	226.7672227
309	226.6788601
310	226.45277
311	226.1166245
312	225.8777668
313	225.7667522
314	225.6232957
315	225.4228407
316	225.0456985
317	224.5554757
318	224.3354102
319	224.0345093
320	223.8546818
321	223.554039
322	223.3738139
323	223.1950672
324	223.0302841
325	222.6815404
326	222.4644641
327	222.29025
328	222.0670187
329	221.8620878
330	221.6286811
331	221.3960204
332	221.2964261
333	221.1336337
334	220.8467403
335	220.5709276
336	220.4878211
337	220.2874206
338	219.9938848
339	219.8109095
340	219.6627914
341	219.411074
342	219.1754001
343	218.9897697
344	218.898597
345	218.6700122
346	218.4735816
347	218.2303703
348	217.7606078
349	217.584506
350	217.3950328
351	217.206781
352	216.9825678
353	216.7100536
354	216.4997205
355	216.3001392
356	216.17047
357	215.8669773
358	215.5397758
359	215.3363434
360	215.146439
361	215.0325491
362	214.8729887
363	214.6616326
364	214.4672067
365	214.2012571
366	214.1044205
367	213.832616
368	213.7226198
369	213.5103439
370	213.4610503
371	213.097719
372	212.86055
373	212.6005996
374	212.3829589
375	212.1243248
376	211.9195879
377	211.7840792
378	211.6276714
379	211.4296943
380	211.3552753
381	211.2134105
382	211.0534848
383	210.8347337
384	210.7274804
385	210.391346
386	210.3488003
387	210.2329042
388	209.814331
389	209.6590163
390	209.4472807
391	209.3161857
392	209.168839
393	208.9642541
394	208.7762292
395	208.5634884
396	208.3350416
397	208.1976519
398	207.8443803
399	207.6838633
400	207.395106
401	207.2702698
402	207.0915327
403	206.9063231
404	206.8441516
405	206.5360364
406	206.2995035
