iter	Passed	Remaining
0	7	14657
1	13	13660
2	20	13590
3	26	13073
4	32	13132
5	39	13097
6	46	13367
7	53	13414
8	60	13390
9	66	13244
10	72	13093
11	79	13102
12	84	12972
13	91	12976
14	98	12990
15	103	12833
16	109	12772
17	116	12790
18	122	12779
19	128	12710
20	134	12655
21	140	12616
22	145	12548
23	151	12498
24	157	12443
25	163	12402
26	169	12360
27	175	12326
28	180	12286
29	186	12231
30	192	12199
31	197	12163
32	203	12104
33	208	12057
34	214	12055
35	220	12011
36	225	11979
37	230	11924
38	236	11891
39	242	11867
40	247	11828
41	252	11789
42	258	11773
43	264	11745
44	269	11711
45	275	11688
46	280	11654
47	286	11641
48	292	11627
49	297	11593
50	303	11591
51	308	11563
52	314	11537
53	320	11541
54	325	11518
55	331	11506
56	336	11482
57	342	11454
58	347	11443
59	353	11422
60	358	11401
61	364	11394
62	369	11369
63	375	11345
64	380	11340
65	386	11316
66	391	11303
67	397	11288
68	402	11266
69	408	11261
70	414	11248
71	419	11231
72	425	11235
73	431	11224
74	437	11217
75	442	11209
76	448	11191
77	453	11182
78	459	11166
79	464	11150
80	470	11135
81	475	11114
82	480	11108
83	486	11096
84	491	11081
85	497	11074
86	503	11061
87	508	11047
88	513	11026
89	518	11004
90	523	10985
91	528	10962
92	533	10940
93	538	10926
94	543	10906
95	548	10886
96	554	10869
97	559	10858
98	564	10837
99	569	10819
100	574	10802
101	579	10786
102	584	10770
103	590	10761
104	595	10747
105	600	10734
106	606	10724
107	611	10710
108	617	10708
109	622	10703
110	628	10694
111	633	10681
112	639	10672
113	644	10661
114	649	10650
115	655	10638
116	660	10627
117	665	10613
118	670	10600
119	675	10588
120	681	10576
121	686	10563
122	691	10551
123	696	10535
124	701	10521
125	706	10515
126	712	10506
127	717	10495
128	723	10487
129	728	10478
130	733	10463
131	738	10454
132	743	10443
133	749	10430
134	754	10422
135	759	10410
136	768	10447
137	773	10436
138	778	10421
139	783	10413
140	789	10403
141	794	10389
142	799	10381
143	804	10369
144	809	10358
145	815	10354
146	820	10341
147	825	10329
148	831	10323
149	835	10310
150	841	10301
151	846	10292
152	851	10279
153	856	10271
154	862	10265
155	867	10251
156	872	10240
157	877	10232
158	882	10222
159	887	10211
160	893	10205
161	898	10193
162	903	10182
163	909	10182
164	914	10172
165	919	10161
166	925	10157
167	930	10149
168	935	10140
169	941	10132
170	946	10121
171	951	10109
172	956	10101
173	962	10095
174	967	10085
175	972	10075
176	977	10067
177	982	10057
178	987	10047
179	992	10039
180	997	10029
181	1003	10020
182	1008	10015
183	1013	10007
184	1019	10005
185	1025	9997
186	1030	9993
187	1036	9988
188	1041	9976
189	1046	9966
190	1051	9959
191	1056	9947
192	1061	9938
193	1066	9930
194	1072	9924
195	1077	9919
196	1083	9916
197	1088	9908
198	1094	9905
199	1100	9904
200	1105	9897
201	1111	9892
202	1117	9889
203	1122	9882
204	1128	9877
205	1133	9875
