idade,trabalho,estado civil,educação,atraso,casa,empréstimo,contato,mês,dia,duração,ncontatos,anterior
33,trabalhador manual,casado(a),ensino médio,,sim,não,telefone fixo,maio,sexta-feira,curta,1,nenhum
41,escritório,casado(a),graduação,,sim,não,telefone fixo,maio,segunda-feira,média,1,nenhum
42,terceirizados,solteiro(a),ensino médio,,sim,não,telefone móvel,novembro,quinta-feira,longa,1,nenhum
34,empreendedor,casado(a),básico,,sim,sim,telefone fixo,novembro,segunda-feira,média,1,nenhum
34,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,julho,quinta-feira,curta,14,nenhum
22,,solteiro(a),ensino médio,não,sim,não,telefone móvel,junho,segunda-feira,média,2,nenhum
29,empreendedor,casado(a),ensino técnico,não,sim,não,telefone fixo,maio,quarta-feira,curta,1,nenhum
41,especialista,casado(a),básico,,não,sim,telefone fixo,maio,quinta-feira,média,4,nenhum
24,especialista,solteiro(a),graduação,não,sim,sim,telefone móvel,julho,terça-feira,longa,11,nenhum
45,gerência,casado(a),graduação,não,não,não,telefone móvel,agosto,terça-feira,média,2,mais de um
54,trabalhador manual,casado(a),básico,,sim,não,telefone fixo,agosto,terça-feira,longa,4,nenhum
37,trabalhador manual,casado(a),básico,,sim,não,telefone fixo,junho,sexta-feira,curta,3,nenhum
44,escritório,casado(a),ensino médio,não,não,sim,telefone móvel,julho,segunda-feira,longa,3,nenhum
48,trabalhador manual,casado(a),ensino médio,não,sim,não,telefone móvel,maio,sexta-feira,longa,2,apenas um
31,empreendedor,casado(a),básico,,sim,não,telefone móvel,maio,segunda-feira,longa,3,nenhum
37,gerência,casado(a),graduação,não,sim,não,telefone móvel,novembro,terça-feira,média,2,nenhum
43,escritório,casado(a),graduação,não,sim,não,telefone móvel,agosto,quinta-feira,média,5,nenhum
25,terceirizados,casado(a),ensino médio,não,não,sim,telefone fixo,maio,sexta-feira,média,1,nenhum
45,trabalhador manual,casado(a),ensino técnico,não,sim,não,telefone móvel,junho,sexta-feira,longa,3,apenas um
57,gerência,casado(a),graduação,não,sim,não,telefone móvel,agosto,terça-feira,longa,2,nenhum
51,aposentado,casado(a),básico,não,não,não,telefone móvel,julho,quarta-feira,longa,1,nenhum
44,terceirizados,divorciado(a),ensino médio,,sim,não,telefone móvel,abril,quinta-feira,longa,1,apenas um
59,aposentado,casado(a),ensino médio,não,sim,não,telefone móvel,julho,quinta-feira,média,1,nenhum
30,terceirizados,casado(a),ensino médio,não,não,não,telefone fixo,junho,terça-feira,média,2,nenhum
49,escritório,casado(a),ensino médio,não,sim,não,telefone móvel,novembro,sexta-feira,média,2,nenhum
25,,solteiro(a),,não,sim,não,telefone móvel,agosto,sexta-feira,longa,1,apenas um
33,escritório,solteiro(a),graduação,não,não,não,telefone móvel,agosto,quarta-feira,longa,1,nenhum
59,gerência,divorciado(a),graduação,não,sim,não,telefone móvel,novembro,segunda-feira,curta,1,nenhum
43,escritório,casado(a),graduação,não,sim,não,telefone móvel,novembro,quinta-feira,longa,5,nenhum
41,do lar,divorciado(a),básico,não,sim,não,telefone móvel,agosto,quinta-feira,média,1,nenhum
34,escritório,casado(a),graduação,não,sim,não,telefone móvel,maio,terça-feira,média,1,apenas um
55,escritório,solteiro(a),graduação,não,não,não,telefone móvel,novembro,terça-feira,curta,1,nenhum
44,escritório,casado(a),ensino médio,não,não,sim,telefone móvel,dezembro,segunda-feira,longa,2,mais de um
36,especialista,casado(a),ensino técnico,não,sim,não,telefone móvel,maio,terça-feira,média,1,apenas um
44,escritório,casado(a),ensino médio,não,sim,não,telefone móvel,dezembro,terça-feira,curta,4,apenas um
25,trabalhador manual,solteiro(a),,não,sim,não,telefone móvel,maio,quinta-feira,longa,2,nenhum
36,trabalhador manual,casado(a),básico,não,não,não,telefone móvel,maio,quinta-feira,média,1,apenas um
42,trabalhador manual,casado(a),básico,não,não,não,telefone fixo,maio,terça-feira,longa,1,nenhum
31,escritório,solteiro(a),graduação,não,sim,sim,telefone móvel,agosto,quarta-feira,curta,4,nenhum
77,aposentado,casado(a),ensino técnico,não,não,não,telefone móvel,agosto,segunda-feira,longa,1,apenas um
54,gerência,casado(a),graduação,não,sim,não,telefone móvel,agosto,segunda-feira,longa,3,nenhum
59,do lar,casado(a),graduação,,não,não,telefone fixo,maio,quarta-feira,média,1,nenhum
35,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,abril,terça-feira,longa,1,nenhum
43,especialista,casado(a),ensino médio,não,sim,não,telefone móvel,abril,quinta-feira,média,1,nenhum
30,escritório,solteiro(a),graduação,não,não,não,telefone móvel,agosto,quinta-feira,média,1,nenhum
30,gerência,solteiro(a),graduação,não,sim,não,telefone móvel,maio,sexta-feira,longa,2,apenas um
45,gerência,casado(a),graduação,não,não,não,telefone móvel,setembro,quarta-feira,média,1,mais de um
55,especialista,casado(a),ensino médio,,sim,não,telefone móvel,novembro,sexta-feira,curta,1,apenas um
34,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,maio,sexta-feira,longa,5,nenhum
66,aposentado,casado(a),ensino técnico,não,sim,não,telefone móvel,agosto,terça-feira,média,1,mais de um
31,terceirizados,casado(a),graduação,não,sim,não,telefone fixo,maio,quarta-feira,longa,6,nenhum
37,trabalhador manual,solteiro(a),básico,não,sim,não,telefone móvel,novembro,terça-feira,curta,2,apenas um
39,desempregado,casado(a),básico,,não,não,telefone móvel,julho,terça-feira,longa,1,nenhum
38,escritório,casado(a),ensino médio,,sim,não,telefone móvel,maio,quinta-feira,curta,2,nenhum
39,escritório,casado(a),ensino médio,,não,não,telefone móvel,julho,terça-feira,média,1,nenhum
36,empreendedor,casado(a),ensino médio,não,sim,não,telefone móvel,novembro,quinta-feira,longa,2,nenhum
24,trabalhador manual,solteiro(a),básico,não,sim,não,telefone fixo,maio,quarta-feira,curta,1,apenas um
53,terceirizados,casado(a),básico,não,sim,não,telefone móvel,novembro,quinta-feira,média,2,nenhum
44,escritório,solteiro(a),graduação,não,não,não,telefone móvel,novembro,quarta-feira,curta,1,nenhum
48,especialista,solteiro(a),ensino técnico,,sim,sim,telefone fixo,junho,segunda-feira,média,1,nenhum
32,terceirizados,casado(a),ensino médio,,sim,não,telefone fixo,junho,terça-feira,média,1,nenhum
56,escritório,casado(a),,não,sim,não,telefone móvel,abril,quinta-feira,curta,2,nenhum
59,aposentado,divorciado(a),ensino técnico,não,não,não,telefone móvel,abril,quinta-feira,longa,1,nenhum
39,trabalhador manual,solteiro(a),básico,não,sim,não,telefone fixo,maio,segunda-feira,longa,2,nenhum
58,trabalhador manual,divorciado(a),,,sim,não,telefone fixo,maio,sexta-feira,longa,1,nenhum
29,terceirizados,solteiro(a),ensino médio,não,não,não,telefone fixo,junho,segunda-feira,longa,3,nenhum
46,trabalhador manual,casado(a),básico,,não,não,telefone fixo,maio,terça-feira,longa,6,nenhum
58,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,julho,segunda-feira,longa,3,nenhum
32,escritório,casado(a),ensino médio,não,sim,não,telefone fixo,junho,quarta-feira,curta,1,nenhum
26,trabalhador manual,casado(a),ensino médio,,sim,sim,telefone fixo,maio,segunda-feira,longa,6,nenhum
31,escritório,casado(a),graduação,não,não,não,telefone móvel,agosto,quinta-feira,curta,17,nenhum
39,escritório,solteiro(a),graduação,não,sim,não,telefone fixo,maio,quarta-feira,curta,4,nenhum
41,escritório,casado(a),ensino técnico,,sim,não,telefone fixo,maio,sexta-feira,longa,1,nenhum
45,trabalhador manual,casado(a),ensino técnico,,não,não,telefone móvel,julho,terça-feira,longa,4,nenhum
30,terceirizados,casado(a),ensino médio,não,não,sim,telefone móvel,maio,quarta-feira,longa,2,apenas um
25,,solteiro(a),,não,sim,não,telefone móvel,outubro,sexta-feira,longa,1,nenhum
31,gerência,casado(a),ensino médio,não,sim,não,telefone móvel,agosto,terça-feira,curta,12,nenhum
