idade,trabalho,estado civil,educação,atraso,casa,empréstimo,contato,mês,dia,duração,ncontatos,anterior,produto
36,escritório,casado(a),ensino médio,não,não,não,telefone fixo,junho,quinta-feira,média,1,nenhum,não
32,trabalhador manual,casado(a),básico,,não,não,telefone móvel,julho,terça-feira,média,4,nenhum,não
49,especialista,casado(a),,não,sim,não,telefone fixo,maio,segunda-feira,longa,1,nenhum,não
28,especialista,solteiro(a),,não,não,não,telefone móvel,outubro,terça-feira,longa,1,nenhum,não
31,escritório,solteiro(a),ensino técnico,não,,,telefone móvel,junho,quinta-feira,média,1,apenas um,sim
56,escritório,solteiro(a),graduação,,não,sim,telefone móvel,novembro,sexta-feira,média,1,nenhum,não
35,do lar,solteiro(a),ensino médio,não,não,não,telefone móvel,maio,quarta-feira,longa,1,nenhum,sim
52,empreendedor,casado(a),básico,não,não,sim,telefone fixo,maio,quarta-feira,curta,1,nenhum,não
55,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,agosto,sexta-feira,média,5,nenhum,não
51,trabalhador manual,casado(a),básico,,não,sim,telefone móvel,maio,terça-feira,curta,2,apenas um,não
35,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,agosto,segunda-feira,longa,1,nenhum,não
58,terceirizados,divorciado(a),ensino médio,não,não,não,telefone fixo,maio,sexta-feira,média,1,nenhum,não
44,trabalhador manual,casado(a),básico,,sim,não,telefone fixo,junho,quarta-feira,curta,2,nenhum,não
31,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,agosto,quarta-feira,média,1,mais de um,sim
52,especialista,casado(a),ensino médio,não,não,sim,telefone fixo,junho,quarta-feira,média,6,nenhum,não
23,especialista,solteiro(a),básico,não,não,não,telefone fixo,maio,segunda-feira,média,2,apenas um,não
32,trabalhador manual,solteiro(a),básico,não,não,não,telefone móvel,maio,quinta-feira,média,1,apenas um,sim
25,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,março,quarta-feira,média,2,apenas um,sim
35,trabalhador manual,casado(a),básico,,não,sim,telefone fixo,julho,segunda-feira,média,3,nenhum,não
67,aposentado,casado(a),básico,,sim,não,telefone móvel,agosto,terça-feira,média,2,nenhum,sim
42,escritório,solteiro(a),graduação,não,não,não,telefone móvel,novembro,terça-feira,curta,1,nenhum,não
45,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,abril,quarta-feira,curta,1,apenas um,não
35,escritório,casado(a),graduação,não,sim,não,telefone móvel,agosto,quinta-feira,média,1,nenhum,não
61,escritório,casado(a),ensino médio,não,sim,não,telefone fixo,maio,sexta-feira,curta,2,nenhum,não
39,trabalhador manual,casado(a),ensino médio,não,não,não,telefone móvel,julho,sexta-feira,curta,2,nenhum,não
27,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,julho,quarta-feira,média,1,nenhum,sim
30,especialista,solteiro(a),ensino técnico,não,não,não,telefone fixo,maio,quinta-feira,longa,2,nenhum,não
39,terceirizados,casado(a),básico,não,sim,não,telefone móvel,abril,quinta-feira,longa,2,nenhum,não
55,gerência,casado(a),graduação,não,não,sim,telefone móvel,julho,terça-feira,média,1,nenhum,não
39,trabalhador manual,solteiro(a),ensino médio,,sim,não,telefone fixo,junho,sexta-feira,longa,2,nenhum,sim
32,trabalhador manual,solteiro(a),básico,,sim,não,telefone móvel,julho,segunda-feira,média,3,nenhum,não
57,empreendedor,casado(a),,,não,não,telefone fixo,junho,segunda-feira,curta,2,nenhum,não
23,trabalhador manual,solteiro(a),básico,não,não,não,telefone móvel,julho,sexta-feira,curta,4,nenhum,não
43,especialista,casado(a),ensino técnico,,não,não,telefone fixo,junho,quinta-feira,curta,1,nenhum,não
36,empreendedor,divorciado(a),ensino técnico,,,,telefone móvel,agosto,terça-feira,longa,3,nenhum,sim
37,trabalhador manual,casado(a),básico,,não,não,telefone móvel,maio,quarta-feira,longa,3,apenas um,sim
37,especialista,casado(a),ensino técnico,não,não,sim,telefone fixo,maio,sexta-feira,longa,1,nenhum,não
34,terceirizados,casado(a),ensino médio,não,não,não,telefone móvel,julho,segunda-feira,longa,2,nenhum,sim
28,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,maio,terça-feira,longa,1,apenas um,não
55,gerência,casado(a),graduação,não,sim,não,telefone móvel,novembro,quinta-feira,curta,2,nenhum,não
23,terceirizados,solteiro(a),ensino técnico,não,não,não,telefone móvel,julho,terça-feira,média,3,apenas um,sim
58,escritório,casado(a),ensino médio,não,não,não,telefone móvel,agosto,segunda-feira,longa,2,nenhum,não
36,gerência,divorciado(a),graduação,não,,,telefone móvel,agosto,segunda-feira,curta,2,nenhum,não
80,aposentado,casado(a),básico,não,sim,não,telefone móvel,novembro,terça-feira,longa,1,apenas um,sim
42,especialista,casado(a),graduação,,sim,sim,telefone móvel,abril,quinta-feira,média,1,nenhum,não
32,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,abril,quinta-feira,média,1,apenas um,não
54,escritório,casado(a),graduação,não,sim,não,telefone móvel,agosto,segunda-feira,curta,1,mais de um,não
39,escritório,solteiro(a),ensino médio,não,sim,não,telefone móvel,abril,quinta-feira,longa,1,apenas um,sim
36,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,maio,quarta-feira,longa,1,nenhum,não
39,especialista,solteiro(a),graduação,não,sim,sim,telefone móvel,maio,quarta-feira,longa,3,nenhum,sim
38,desempregado,solteiro(a),graduação,não,não,não,telefone móvel,novembro,quinta-feira,média,2,nenhum,não
59,escritório,casado(a),graduação,não,sim,sim,telefone móvel,maio,segunda-feira,longa,2,nenhum,sim
61,aposentado,casado(a),ensino médio,não,não,não,telefone móvel,agosto,quinta-feira,curta,10,nenhum,não
50,especialista,casado(a),graduação,não,sim,não,telefone móvel,maio,quinta-feira,longa,1,nenhum,sim
